"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","11","701","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","11","2","2","1","2.315121","0","3"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","11","4","1","1","4.583280","0","10"
"/SunPosition/Editor/M_ArrowColor.M_ArrowColor","11","15","2","1","24.899351","0","111"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","11","4","4","1","4.620416","0","7"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","11","2","2","1","3.784158","0","3"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","11","2","2","1","3.210069","0","3"
"/MovieRenderPipeline/Materials/MoviePipeline_StencilCutout.MoviePipeline_StencilCutout","11","11","1","1","11.275275","0","76"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","11","34","1","1","35.226562","0","628"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","11","44","1","1","43.188896","0","1028"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","11","34","1","1","38.096378","0","628"
"/Engine/VREditor/TransformGizmo/Xray.Xray","11","15","4","1","19.754223","0","120"
"/Engine/VREditor/TransformGizmo/Main.Main","11","2","2","1","2.676446","0","2"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","11","2","2","1","2.463199","0","2"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","11","2","2","1","1.779249","0","3"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","11","30","30","1","46.354622","0","44"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","11","4","4","1","4.626252","0","4"
"/Game/NewContent/kim/Retail/SimpleMaterials/Wood.Wood","11","45","1","1","48.871490","0","1079"
"/Game/NewContent/kim/Retail/SimpleMaterials/Concrete.Concrete","11","45","1","1","48.255493","0","1069"
"/Game/NewContent/kim/Retail/SimpleMaterials/Metal.Metal","11","15","1","1","16.031006","0","109"
"/Game/NewContent/shelves/shelf_test/Materials/0_Default_OBJ.0_Default_OBJ","11","17","1","1","17.572075","0","169"
"/Game/NewContent/walls/plywood-wall/plywood.plywood","11","15","1","1","15.616209","0","109"
"/Game/NewContent/walls/plywood-wall/metal.metal","11","15","1","1","15.904551","0","91"
"/Game/NewContent/walls/plywood-wall/edge.edge","11","15","1","1","15.711018","0","78"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","11","8","4","1","7.621400","0","29"
"/Game/StarterContent/Props/Materials/M_MaterialSphere_Plain.M_MaterialSphere_Plain","11","15","1","1","15.293090","0","66"
"/Game/StarterContent/Props/Materials/M_MaterialSphere.M_MaterialSphere","11","15","1","1","16.108980","0","45"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Arrows.M_LightStage_Arrows","11","2","2","1","1.776409","0","2"
"/Game/StarterContent/Materials/M_Basic_Floor.M_Basic_Floor","11","45","1","1","49.381477","0","228"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","11","45","1","1","49.611603","0","175"
"/Game/StarterContent/Materials/M_AssetPlatform.M_AssetPlatform","11","45","3","1","50.549595","0","178"
"/Game/StarterContent/Materials/M_Glass.M_Glass","11","32","1","1","34.123238","0","137"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","11","135","21","1","162.289948","0","1548"
"/Engine/EditorMeshes/ColorCalibrator/M_ChromeBall.M_ChromeBall","11","75","1","1","84.239555","0","428"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoat.M_ClearCoat","11","45","1","1","51.824100","0","175"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoatBlack.M_ClearCoatBlack","11","45","1","1","50.140240","0","198"
"/Engine/EditorMeshes/ColorCalibrator/M_GreyBall.M_GreyBall","11","45","1","1","50.565987","0","181"
"/Engine/TemplateResources/M_Template_Master.M_Template_Master","11","75","1","1","83.687950","0","386"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","11","2","2","1","1.979263","0","3"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","11","90","1","1","104.034119","0","574"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","11","90","23","1","114.065689","0","791"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","11","90","1","1","102.353546","0","532"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","11","30","1","1","31.572145","0","106"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","11","2","2","1","1.777192","0","2"
"/MovieRenderPipeline/Blueprints/M_MoviePipelineRenderPreview.M_MoviePipelineRenderPreview","11","9","1","1","6.596787","0","27"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","11","39","8","2","43.325546","0","156"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","11","4","4","1","5.306356","0","4"
"/ControlRig/M_Manip.M_Manip","11","4","4","1","4.656323","0","4"
"/WebBrowserWidget/WebTexture_TM.WebTexture_TM","11","9","9","1","10.041066","0","9"
"/WebBrowserWidget/WebTexture_M.WebTexture_M","11","9","1","1","7.024923","0","23"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","11","2","2","1","1.762769","0","2"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","11","4","4","1","3.280792","0","7"
"/MovieRenderPipeline/Materials/MovieRenderQueue_WorldDepth.MovieRenderQueue_WorldDepth","11","4","4","1","3.056748","0","4"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","11","4","4","1","3.325923","0","5"
